202204listing,
Field,Value
Product Title,"Ceramic Buddha Hand Incense Holder for Sticks - Zen Decor with Hand of Buddha Design Protection From Evil - 10.2"" L X 2.5"" W X 1.2"" H"
Bullet Point 0,"Create: The incense tray home fragrance creates a modern aesthetics, incorporating traditional oriental culture, incense sticks stay upright while burning, simple and elegant to use."
Bullet Point 1,"Design: The Buddha incense holder is a symbol of protection from the evil, Xiangyun are one of the most auspicious patterns used in China and have a very long history, believed to promote health, happiness, good luck and fortune.?"
Bullet Point 2,"Material: Cast and handicraft by ceramic, the surface is coated with water-base non-toxic paint, has a sturdy, smooth touch, will not burn and easy to clean."
Bullet Point 3,"Multifunction: This hand of buddha trinket dish can also be used as a small tray for jewelry organizer, earring organizer, bracelet display, crystal holder, key holder, candle holder, tea bag holder."
Bullet Point 4,"Occasion: An ideal gift for those who love Aromatherapy, Yoga, Reiki, Massage and Meditation. Perfect gift for family and friends. Also can be used as home and office decor, bookshelf decor."
Bullet Point 5,"Size: This unique home decor is? 10.2"" L X 2.5"" W X 1.2"" H / 26cm X 6.5cm X 3cm, suitable for multiple sizes of incense sticks¡¢."
Bullet Point 6,"Note: This incense burner is made of ceramic, if it is damaged during transportation, please contact us for replacement, we will reply within 24 hours."
Description,"Incense, which has found a place in the rituals of different cultures from the past to the present, is mostly used while meditating today. While it is used as a healing in ancient Mesopotamian civilizations, it is used in many religious ceremonies in Hinduism. It is also known that the smell of incense causes the secretion of serotonin, known as the happiness hormone, while reducing stress and anxiety. Incense stick holder box can be in the form of a simple bowl, depending on the form of the incense to be burned, or in a variety of forms with a hole on it. The incense holder made of ceramic is very suitable and durable for your stick incense. While the wide part of the Buddha hand prevents your incense ashes from scattering around, it offers an aesthetic option that you can easily use in your environment with its dark tone. This cool incense holder can be also used as crystal holder for stones display."
