202204listing,
Field,Value
Product Title,"Ceramic Incense Holder for Sticks - Incense Burner Holder Zen Decor - Decorative Plate for Table D¨¦cor Design - 6.8"" W X 3.3"" H (White)"
Bullet Point 0,"Create: The incense holder bowl home fragrance creates a modern aesthetics, incorporating traditional oriental culture, incense sticks stay upright while burning, simple and elegant to use."
Bullet Point 1,"Design: The minimalist incense holder prevents your incense ashes from scattering around, it offers an aesthetic option that you can easily use in your environment with its simple tone."
Bullet Point 2,"Material: Cast and handicraft by ceramic, careful polished, has a sturdy, smooth touch. The cute cat shape incense holder made of ceramic, will not burn and easy to clean."
Bullet Point 3,"Multifunction: This Decorative Bowl for Table D¨¦cor can also be used as a small bowl for jewelry organizer, earring organizer, bracelet display, crystal holder, key holder, candle holder, etc."
Bullet Point 4,"Occasion: An ideal gift for those who love Aromatherapy, Yoga, Reiki, Massage and Meditation. Perfect gift for family and friends. Also can be used as home and office decor, bookshelf decor."
Bullet Point 5,"Size: This unique home decor is 6.8¡± W X 3.3¡± H / 17.3cm W X 8.5cm H, the opening of the cat shape incense holder is 0.18inch/ 3mm, suitable for multiple sizes of incense sticks."
Bullet Point 6,"Note: This incense burner is made of ceramic, if it is damaged during transportation, please contact us for replacement, we will reply within 24 hours."
Description,"The incense holder plate home fragrance creates a modern aesthetics, incorporating traditional oriental culture, incense sticks stay upright while burning, simple and elegant to use.
An ideal gift for those who love Aromatherapy, Yoga, Reiki, Massage and Meditation. Perfect gift for family and friends. Also can be used as home and office decor, bookshelf decor."
Search Terms,alt accessories coquette aesthetic room decor cottagecore decor evil eye decor western decor witchy decor boho sanskriti boho table decor boujee room decor feng shui insense holder insense burner insencens burner insent. holder turkish decor
Subject Matter 0,alt accessories coquette aesthetic room decor?
Subject Matter 1,cottagecore decor evil eye decor western decor
Subject Matter 2,witchy decor boho sanskriti boho table decor?
Subject Matter 3,boujee room decor feng shui insense holder burner
Subject Matter 4,insencens burner insent. holder turkish decor
