202204listing,
Field,Value
Product Title,"Ceramic Incense Holder for Cone and Coil - Incense Burner Holder Zen Decor - Palo Santo Holder Pumpkin Design - 4.1"" W X 3.7"" H (Pumpkin)"
Bullet Point 0,"Create: The incense tray home fragrance creates a modern aesthetics, incorporating traditional oriental culture, simple and elegant to use."
Bullet Point 1,Design: The pumpkin incense holder is an exquisitely handwork and add some tropical charm with its style.
Bullet Point 2,"Material: Cast and handicraft by ceramic, the surface is coated with water-base non-toxic paint, has a sturdy, smooth touch, will not burn and easy to clean."
Bullet Point 3,"Multifunction: This incense burner holder can be used for cone, coil, Palo Sando, incense sticks and tealight candles as well."
Bullet Point 4,"Occasion: An ideal gift for those who love Aromatherapy, Yoga, Reiki, Massage and Meditation. Perfect gift for family and friends. Also can be used as home and office decor, bookshelf decor."
Bullet Point 5,Size: This unique home decor is 4.13InX3.74InX3.74In(10.5cmX9.5cmX9.5cm)
Bullet Point 6,"Note: This incense burner is made of ceramic, if it is damaged during transportation, please contact us for replacement, we will reply within 24 hours."
Description,"The incense burner holder home fragrance creates a modern aesthetics, incorporating traditional oriental culture, simple and elegant to use.
An ideal gift for those who love Aromatherapy, Yoga, Reiki, Massage and Meditation. Perfect gift for family and friends. Also can be used as home and office decor, bookshelf decor.
The fireproof cotton inside the incense burner can ensure the safe use of the incense burner, creates a relaxed, peaceful and pleasant atmosphere."
Search Terms,alt accessories coquette aesthetic room decor cottagecore decor evil eye decor western decor witchy decor boho sanskriti boho table decor boujee room decor feng shui insense holder insense burner insencens burner insent. holder turkish decor
Subject Matter 0,alt accessories coquette aesthetic room decor?
Subject Matter 1,cottagecore decor evil eye decor western decor
Subject Matter 2,witchy decor boho sanskriti boho table decor?
Subject Matter 3,boujee room decor feng shui insense holder burner
Subject Matter 4,insencens burner insent. holder turkish decor
